           NAME           TYPE              S           X            PX              Y             PY              Z             Pt    
S_YI6_DH9_DH10#1          DRIFT        154.815   -5.87484e-09   -1.63108e-11   -2.00599e-10   -9.10558e-12   -0.000624971   -1.20766e-11
       YI6_BV10          DRIFT        154.815   -5.87484e-09   -1.63108e-11   -2.00599e-10   -9.10558e-12   -0.000624971   -1.20766e-11
S_YI6_DH9_DH10#2          DRIFT        155.041   -5.87853e-09   -1.63108e-11   -2.02659e-10   -9.10558e-12   -0.000624971   -1.20766e-11
      YI6_SXD10           SEXT        155.791   -5.89076e-09   -1.63108e-11   -2.09488e-10   -9.10558e-12   -0.000624971   -1.20766e-11
S_YI6_DH9_DH10#3          DRIFT        155.923    -5.8929e-09   -1.63108e-11   -2.10682e-10   -9.10558e-12   -0.000624971   -1.20766e-11
       YI6_QD10           QUAD        157.033   -6.20496e-09   -5.50579e-10   -2.10296e-10    9.79455e-12   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        157.578   -6.50516e-09   -5.50579e-10   -2.04956e-10    9.79455e-12   -0.000624971   -1.20766e-11
       YI6_TV10         KICKER        157.578   -6.50516e-09   -5.50579e-10   -2.04956e-10    9.79455e-12   -0.000624971   -1.20766e-11
       DRIFT_35          DRIFT        159.154   -7.37298e-09   -5.50579e-10   -1.89518e-10    9.79455e-12   -0.000624971   -1.20766e-11
    YI6_DH10_E1           MULT        159.154   -7.37298e-09   -5.50579e-10   -1.89518e-10    9.79455e-12   -0.000624971   -1.20766e-11
       YI6_DH10          SBEND        168.595   -1.25661e-08   -5.49449e-10   -9.70507e-11    9.79455e-12   -0.000624971   -1.20766e-11
    YI6_DH10_E2           MULT        168.595   -1.25661e-08   -5.49449e-10   -9.70507e-11    9.79455e-12   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        169.609   -1.31233e-08   -5.49449e-10   -8.71175e-11    9.79455e-12   -0.000624971   -1.20766e-11
       YI6_BH11          DRIFT        169.609   -1.31233e-08   -5.49449e-10   -8.71175e-11    9.79455e-12   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        169.835   -1.32476e-08   -5.49449e-10   -8.49017e-11    9.79455e-12   -0.000624971   -1.20766e-11
