           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
          ODSFL          DRIFT        133.225        12.8052      -0.741831        1.07565        30.4202       0.588884       0.675222        1.00108      0.0681263   -1.05938e-05   -5.69413e-07
     S_CQ06Y8#1          DRIFT        133.718        13.5668      -0.801578        1.08161        29.8497       0.567036       0.677829         1.0347      0.0681263   -1.08748e-05   -5.69413e-07
         QD8_PR           QUAD        134.828        16.1643       -1.57314        1.09364        27.3718        1.63206       0.683965        1.13401       0.111476   -1.12609e-05   -1.23654e-07
     S_CQ06Y8#2          DRIFT        136.133        20.6346       -1.85357        1.10502        23.3415        1.45745       0.692183        1.27943       0.111476   -1.14222e-05   -1.23654e-07
          ODSFL          DRIFT         136.65        22.6097       -1.96477        1.10883        21.8695        1.38822       0.695827         1.3371       0.111476   -1.14862e-05   -1.23654e-07
        YI6_DH9          SBEND          139.6        36.0651       -2.59702         1.1253        14.8449       0.993447       0.721997        1.68371       0.123561   -1.18509e-05   -1.23654e-07
          ODSFL          DRIFT        140.117        38.8093        -2.7081         1.1275         13.853       0.924211        0.72774        1.74763       0.123561   -1.19149e-05   -1.23654e-07
    S_CQB06Y9#1          DRIFT        141.421        46.2404       -2.98823         1.1324        11.6694       0.749604       0.744098        1.90882       0.123561   -1.20762e-05   -1.23654e-07
         QF9_PR           QUAD        142.531        47.3013        2.07084        1.13611        11.4925      -0.583955       0.759684        1.93029     -0.0852539   -1.29452e-05   -1.45775e-06
    S_CQB06Y9#2          DRIFT        143.836        42.0882        1.92497        1.14076        13.2149      -0.736189       0.776565        1.81907     -0.0852539   -1.48471e-05   -1.45775e-06
           ODFL          DRIFT        144.358        40.1105        1.86666        1.14278        14.0146      -0.797052       0.782666         1.7746     -0.0852539   -1.56074e-05   -1.45775e-06
        YI6_DH8          SBEND        153.798        14.7998       0.813021        1.20609        39.4636       -1.89863        0.84841        1.15231     -0.0465599   -2.93695e-05   -1.45775e-06
S_YI6_DH9_DH10#1          DRIFT        154.815        13.2622       0.698884        1.21765         43.446        -2.0173       0.852319        1.10496     -0.0465599    -3.0852e-05   -1.45775e-06
       YI6_BV10          DRIFT        154.815        13.2622       0.698884        1.21765         43.446        -2.0173       0.852319        1.10496     -0.0465599    -3.0852e-05   -1.45775e-06
S_YI6_DH9_DH10#2          DRIFT        155.041        12.9517       0.673494         1.2204        44.3647        -2.0437       0.853139        1.09443     -0.0465599   -3.11817e-05   -1.45775e-06
      YI6_SXD10           SEXT        155.791        12.0046       0.589321        1.22998        47.4959       -2.13121        0.85574        1.05951     -0.0465599    -3.2275e-05   -1.45768e-06
S_YI6_DH9_DH10#3          DRIFT        155.923        11.8521       0.574613        1.23173        48.0565        -2.1465       0.856177        1.05341     -0.0465599    -3.2466e-05   -1.45768e-06
       YI6_QD10           QUAD        157.033        11.8442      -0.567323        1.24691        48.0572        2.14588       0.859793        1.05336      0.0464798   -3.24661e-05     1.4575e-06
       DRIFT_21          DRIFT        157.578        12.4961      -0.628175        1.25404        45.7518        2.08229       0.861643        1.07871      0.0464798   -3.16714e-05     1.4575e-06
       YI6_TV10         KICKER        157.578        12.4961      -0.628175        1.25404        45.7518        2.08229       0.861643        1.07871      0.0464798   -3.16714e-05     1.4575e-06
       DRIFT_35          DRIFT        159.154        14.7536      -0.804082        1.27256        39.4774        1.89846       0.867547        1.15197      0.0464798   -2.93742e-05     1.4575e-06
    YI6_DH10_E1           MULT        159.154        14.7536      -0.804082        1.27256        39.4774        1.89846       0.867547        1.15197      0.0464798   -2.93742e-05     1.4575e-06
       YI6_DH10          SBEND        168.595        39.8398       -1.85182         1.3362        14.0266        0.79742       0.933249         1.7735       0.085174   -1.56145e-05     1.4575e-06
    YI6_DH10_E2           MULT        168.595        39.8398       -1.85182         1.3362        14.0266        0.79742       0.933249         1.7735       0.085174   -1.56145e-05    1.45749e-06
       DRIFT_36          DRIFT        169.609        43.7102       -1.96458        1.34007        12.5291       0.679142       0.945437        1.85988       0.085174   -1.41364e-05    1.45749e-06
       YI6_BH11          DRIFT        169.609        43.7102       -1.96458        1.34007        12.5291       0.679142       0.945437        1.85988       0.085174   -1.41364e-05    1.45749e-06
       DRIFT_19          DRIFT        169.835        44.6048       -1.98973        1.34089        12.2278       0.652757       0.948346        1.87915       0.085174   -1.38067e-05    1.45749e-06
      YI6_SXF11           SEXT        170.585        47.6519       -2.07311        1.34348        11.3142       0.565287       0.958501        1.94303       0.085174   -1.27136e-05    1.45747e-06
       DRIFT_20          DRIFT        170.716        48.1972       -2.08768        1.34391        11.1681       0.550003       0.960357        1.95419       0.085174   -1.25226e-05    1.45747e-06
       YI6_QF11           QUAD        171.826        48.1936        2.09079        1.34752        11.1225      -0.507595        0.97649        1.95419     -0.0851702   -1.14846e-05    4.27739e-07
       DRIFT_21          DRIFT        172.371        45.9468        2.03002        1.34936        11.7096      -0.569248       0.984097        1.90775     -0.0851702   -1.12514e-05    4.27739e-07
       YI6_TH11         KICKER        172.371        45.9468        2.03002        1.34936        11.7096      -0.569248       0.984097        1.90775     -0.0851702   -1.12514e-05    4.27739e-07
       DRIFT_37          DRIFT        173.948        39.8243        1.85434        1.35523         13.785      -0.747472        1.00389        1.77351     -0.0851702   -1.05772e-05    4.27739e-07
    YI6_DH11_E1           MULT        173.948        39.8243        1.85434        1.35523         13.785      -0.747472        1.00389        1.77351     -0.0851702   -1.05772e-05    4.27738e-07
       YI6_DH11          SBEND        183.388        14.7154       0.803972        1.41897         37.976       -1.81496        1.07158        1.15201     -0.0464761   -6.53906e-06    4.27738e-07
    YI6_DH11_E2           MULT        183.388        14.7154       0.803972        1.41897         37.976       -1.81496        1.07158        1.15201     -0.0464761   -6.53906e-06    4.27737e-07
       DRIFT_36          DRIFT        184.402        13.1997       0.690507        1.43056        41.7736       -1.92963        1.07564        1.10488     -0.0464761   -6.10527e-06    4.27737e-07
       YI6_BV12          DRIFT        184.402        13.1997       0.690507        1.43056        41.7736       -1.92963        1.07564        1.10488     -0.0464761   -6.10527e-06    4.27737e-07
       DRIFT_19          DRIFT        184.629         12.893       0.665196        1.43332        42.6525       -1.95521        1.07649        1.09437     -0.0464761    -6.0085e-06    4.27737e-07
      YI6_SXD12           SEXT        185.379        11.9582       0.581285        1.44294        45.6489       -2.04002         1.0792        1.05951     -0.0464761    -5.6877e-06    4.27749e-07
       DRIFT_20          DRIFT         185.51        11.8077       0.566623         1.4447        46.1856       -2.05484        1.07965        1.05342     -0.0464761   -5.63164e-06    4.27749e-07
       YI6_QD12           QUAD         186.62        11.8138      -0.572314        1.45993        46.1705        2.06791        1.08341        1.05347      0.0465686   -4.88858e-06    9.00063e-07
       DRIFT_21          DRIFT        187.165        12.4714      -0.633584        1.46708        43.9495         2.0056        1.08534        1.07886      0.0465686   -4.39782e-06    9.00063e-07
       YI6_TV12         KICKER        187.165        12.4714      -0.633584        1.46708        43.9495         2.0056        1.08534        1.07886      0.0465686   -4.39782e-06    9.00063e-07
       DRIFT_38          DRIFT        188.741        14.7478      -0.810703        1.48562         37.911        1.82548        1.09149        1.15226      0.0465686   -2.97917e-06    9.00063e-07
    YI6_DH12_E1           MULT        188.741        14.7478      -0.810703        1.48562         37.911        1.82548        1.09149        1.15226      0.0465686   -2.97917e-06    9.00063e-07
       YI6_DH12          SBEND        198.182        40.0274       -1.86568        1.54911        13.6286       0.746623        1.15965        1.77463      0.0852627    5.51797e-06    9.00063e-07
    YI6_DH12_E2           MULT        198.182        40.0274       -1.86568        1.54911        13.6286       0.746623        1.15965        1.77463      0.0852627    5.51797e-06    9.00064e-07
       DRIFT_36          DRIFT        199.196        43.9267        -1.9792        1.55296        12.2318       0.630728        1.17217         1.8611      0.0852627    6.43077e-06    9.00064e-07
       YI6_BH13          DRIFT        199.196        43.9267        -1.9792        1.55296        12.2318       0.630728        1.17217         1.8611      0.0852627    6.43077e-06    9.00064e-07
       DRIFT_19          DRIFT        199.422        44.8279       -2.00453        1.55377        11.9522       0.604875        1.17515        1.88039      0.0852627    6.63439e-06    9.00064e-07
      YI6_SXF13           SEXT        200.172        47.8977       -2.08848        1.55635        11.1092       0.519166        1.18551        1.94433      0.0852627    7.30944e-06    9.00077e-07
       DRIFT_20          DRIFT        200.303         48.447       -2.10315        1.55678        10.9751        0.50419         1.1874        1.95551      0.0852627    7.42739e-06    9.00077e-07
       YI6_QF13           QUAD        201.413        48.4533        2.09764        1.56037        11.0157      -0.541931        1.20376        1.95554      -0.085198    8.80183e-06    1.59619e-06
       DRIFT_21          DRIFT        201.958         46.199        2.03687        1.56221        11.6416      -0.605966        1.21142        1.90909      -0.085198    9.67215e-06    1.59619e-06
       YI6_TH13         KICKER        201.958         46.199        2.03687        1.56221        11.6416      -0.605966        1.21142        1.90909      -0.085198    9.67215e-06    1.59619e-06
       DRIFT_39          DRIFT        203.535        40.0549        1.86121        1.56804        13.8436      -0.791074        1.23123         1.7748      -0.085198     1.2188e-05    1.59619e-06
    YI6_DH13_E1           MULT        203.535        40.0549        1.86121        1.56804        13.8436      -0.791074        1.23123         1.7748      -0.085198     1.2188e-05    1.59619e-06
       YI6_DH13          SBEND        212.975        14.8157       0.810899        1.63136        39.2471       -1.89979         1.2976        1.15305      -0.046504     2.7257e-05    1.59619e-06
    YI6_DH13_E2           MULT        212.975        14.8157       0.810899        1.63136        39.2471       -1.89979         1.2976        1.15305      -0.046504     2.7257e-05     1.5962e-06
       DRIFT_36          DRIFT        213.989         13.286       0.697437        1.64287        43.2213        -2.0189        1.30152        1.10588      -0.046504    2.88758e-05     1.5962e-06
       YI6_BV14          DRIFT        213.989         13.286       0.697437        1.64287        43.2213        -2.0189        1.30152        1.10588      -0.046504    2.88758e-05     1.5962e-06
       DRIFT_19          DRIFT        214.216        12.9762       0.672127        1.64562        44.1408       -2.04546        1.30234        1.09536      -0.046504    2.92369e-05     1.5962e-06
      YI6_SXD14           SEXT        214.966        12.0309       0.588218        1.65518         47.275       -2.13354        1.30496        1.06048      -0.046504    3.04341e-05    1.59613e-06
       DRIFT_20          DRIFT        215.097        11.8787       0.573556        1.65692        47.8362       -2.14893         1.3054        1.05439      -0.046504    3.06432e-05    1.59613e-06
       YI6_QD14           QUAD        216.207        11.8756      -0.570705        1.67206         47.864        2.12478        1.30903        1.05446      0.0466273    3.08838e-05   -1.16617e-06
       DRIFT_21          DRIFT        216.752        12.5312      -0.631573        1.67918        45.5812        2.06195        1.31089        1.07988      0.0466273     3.0248e-05   -1.16617e-06
